iter	RMSE
0	14.81678905
1	14.43441166
2	14.06452899
3	13.7009507
4	13.36322209
5	13.02950663
6	12.7260206
7	12.42177699
8	12.13861393
9	11.8374501
10	11.55105706
11	11.30882795
12	11.08435682
13	10.84414026
14	10.60522399
15	10.36845345
16	10.147194
17	9.940530426
18	9.736740793
19	9.541699687
20	9.369071211
21	9.193725218
22	9.018763553
23	8.855272091
24	8.700477274
25	8.557734155
26	8.415747101
27	8.276554988
28	8.142846783
29	8.018481785
30	7.918043142
31	7.793422585
32	7.682863207
33	7.580726871
34	7.470938873
35	7.382208679
36	7.286846574
37	7.201140841
38	7.111332871
39	7.025266493
40	6.952413867
41	6.878610701
42	6.803973076
43	6.733255446
44	6.666974974
45	6.606264373
46	6.541126002
47	6.483838563
48	6.423521778
49	6.37096672
50	6.328837733
51	6.2752231
52	6.233156726
53	6.189622083
54	6.143245968
55	6.100687264
56	6.062505282
57	6.02823934
58	5.996264961
59	5.966135317
60	5.933572185
61	5.906290012
62	5.878660024
63	5.842902432
64	5.808389678
65	5.785048345
66	5.75770313
67	5.730644654
68	5.710459044
69	5.686697829
70	5.661979393
71	5.638880502
72	5.618238842
73	5.594478545
74	5.575364711
75	5.557220944
76	5.540813989
77	5.527627859
78	5.507373754
79	5.492186127
80	5.477999424
81	5.462084977
82	5.446691221
83	5.434066212
84	5.416376221
85	5.403302572
86	5.388660595
87	5.377227337
88	5.365691025
89	5.351609459
90	5.339631178
91	5.330086353
92	5.314859871
93	5.307528373
94	5.296402516
95	5.285127271
96	5.272839453
97	5.262919689
98	5.252391597
99	5.243017898
100	5.2314047
101	5.221451425
102	5.208990963
103	5.200089382
104	5.189103935
105	5.182417397
106	5.169094009
107	5.162281549
108	5.157109176
109	5.14504124
110	5.133621376
111	5.128783727
112	5.118511707
113	5.111725402
114	5.1079762
115	5.104660453
116	5.098958201
117	5.09175966
118	5.085388668
119	5.080025566
120	5.072679533
121	5.067155204
122	5.063566133
123	5.058248374
124	5.053491082
125	5.044238013
126	5.038642079
127	5.034892313
128	5.029581488
129	5.023411547
130	5.016771107
131	5.009520264
132	5.005063322
133	4.999317551
134	4.992650812
135	4.988700307
136	4.984176192
137	4.978311032
138	4.976408266
139	4.970256007
140	4.966499973
141	4.963645511
142	4.960673615
143	4.953883869
144	4.948903843
145	4.944645319
146	4.937317419
147	4.932753011
148	4.928376146
149	4.923293929
150	4.918393027
151	4.91609014
152	4.908499758
153	4.904717612
154	4.900220432
155	4.893971684
156	4.892064692
157	4.887072162
158	4.884161163
159	4.879137422
160	4.876402401
161	4.873664878
162	4.872930498
163	4.871483697
164	4.866074267
165	4.863198381
166	4.860516758
167	4.854072338
168	4.85080839
169	4.846982822
170	4.843263005
171	4.837138892
172	4.832664828
173	4.825754889
174	4.821640474
175	4.819209189
176	4.813953463
177	4.808259644
178	4.80238121
179	4.795761439
180	4.793921737
181	4.792122584
182	4.786048127
183	4.782807615
184	4.781941058
185	4.776431712
186	4.773823549
187	4.768340761
188	4.765423832
189	4.761529539
190	4.757390905
191	4.751918415
192	4.746884498
193	4.742996113
194	4.740313857
195	4.733600218
196	4.729097749
197	4.726955592
198	4.723901079
199	4.721871174
200	4.718580606
201	4.715074389
202	4.709223121
203	4.703627105
204	4.702762385
205	4.697333151
206	4.694135527
207	4.692187409
208	4.688823046
209	4.687211121
210	4.680478315
211	4.675936971
212	4.670223596
213	4.667391389
214	4.662969366
215	4.660817096
216	4.659355256
217	4.656563858
218	4.655472311
219	4.653489002
220	4.64925599
221	4.646984322
222	4.644485182
223	4.639750817
